"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
938,871,1122,920,951,1058,884,835,1090,1066,1112,1135,902,831,1049,1092,873,828,1184,885,960,841,1078,1016,943,1137,808,1003,1015,858,1182,943,1103,1160,827,823,1078,874,1048,1121,999,1058,844,1047,818,1111,1010,1002,1094,1192,961,962,1193,858,892,1057,943,1070,901,1062,881,1000,1032,1166,819,1024,1111,1113,978,988,908,853,1090,1148,1095,992,1155,1113,884,1077,986,1034,993,1103,931,1039,870,1049,936,854,1103,801,1133,1128,1077,1119,1044,931,832,993,941,923,1195,1034,917,955,879,965,1051,849,827,843,1010,1093,1001,836,827,957,1127,1101,988,924,1138,1000,1149,1063,1101,1065,1100,851,1127,925,1113,1130,1045,914,977,986,930,918,870,1164,986,1194,1084,1164,1079,995,1159,944,906,1086,1120,837,1135,956,1126,1021,820,839,1166,1089,1159,1196,1105,1120,957,993,929,1089,1080,953,971,1148,1069,1052,1175,1066,925,1112,1060,998,1084,1055,1132,1050,1025,1017,1099,1090,821,864,1150,1013,1026,967,1188,971,1059,1044
984.9,827.45,1178.1,956.8,0,1005.1,945.88,893.45,1133.6,1119.3,1156.48,1214.45,0,864.24,1122.43,1037.4,829.35,869.4,379.84,73.8,912,883.05,220.58,184.48,980.72,1182.48,767.6,1043.12,1065.75,918.06,1229.28,980.72,1158.15,1102,0,864.15,1131.9,830.3,0,1064.95,1038.96,1100.32,903.08,1088.88,0,1055.45,1060.5,1042.08,1137.76,1251.6,1028.27,1010.1,1240.72,900.9,927.68,1004.15,990.15,1144.9,855.95,1104.48,916.24,1040,980.4,1107.7,859.95,1095.68,189.63,1168.65,1046.46,938.6,953.4,810.35,1144.5,1193.92,1171.65,1041.6,1235.85,4.35000000000002,919.36,1130.85,1055.02,1075.36,1032.72,1158.15,884.45,1080.56,0,1090.96,889.2,811.3,1180.21,833.04,1076.35,1173.12,1152.39,0,991.8,968.24,0,1032.72,988.05,0,1135.25,1085.7,981.19,1021.85,0,1013.25,1093.04,60.69,860.08,0,1060.5,1136.72,950.95,869.44,785.65,995.28,1183.35,1178.07,1027.52,988.68,1183.52,1050,1091.55,1009.85,309.39,1011.75,265.72,885.04,1172.08,962,1168.65,199.12,1086.8,950.56,1025.85,936.7,883.5,872.1,930.9,1222.2,1025.44,1134.3,1029.8,1210.56,1132.95,1044.75,1205.36,981.76,969.42,1129.44,1164.8,878.85,1180.4,1022.92,286.98,1061.84,852.8,880.95,1224.3,1034.55,1240.13,1243.84,1160.25,1064,166.44,943.35,882.55,83.1600000000001,1123.2,51.88,1019.55,1193.92,174.08,1125.64,1222,1108.64,962,1156.48,1007,1037.92,1029.8,1097.2,1177.28,1102.5,1066,45.8700000000001,1044.05,1133.6,862.05,898.56,1230.5,0,1067.04,35.2400000000001,1235.52,1009.84,0,1096.2
1034.145,786.0775,1237.005,995.072,12,954.845,1012.0916,955.9915,1178.944,1175.265,1202.7392,1299.4615,12,898.8096,1201.0001,985.53,787.8825,912.87,0,0,866.4,927.2025,0,0,1019.9488,1229.7792,729.22,1084.8448,1119.0375,982.3242,1278.4512,1019.9488,1216.0575,1046.9,12,907.3575,1188.495,788.785,12,1011.7025,1080.5184,1144.3328,966.2956,1132.4352,12,1002.6775,1113.525,1083.7632,1183.2704,1314.18,1100.2489,1060.605,1290.3488,945.945,964.7872,953.9425,1039.6575,1225.043,813.1525,1148.6592,952.8896,1081.6,931.38,1052.315,902.9475,1172.3776,0,1227.0825,1119.7122,891.67,1001.07,769.8325,1201.725,1241.6768,1253.6655,1093.68,1322.3595,0,956.1344,1187.3925,1128.8714,1118.3744,1074.0288,1216.0575,840.2275,1123.7824,12,1134.5984,844.74,770.735,1262.8247,866.3616,1022.5325,1220.0448,1233.0573,12,942.21,1006.9696,12,1074.0288,1037.4525,12,1078.4875,1139.985,1049.8733,1093.3795,12,1063.9125,1136.7616,0,894.4832,12,1113.525,1182.1888,903.4025,904.2176,746.3675,1035.0912,1242.5175,1260.5349,1068.6208,1057.8876,1230.8608,1102.5,1036.9725,959.3575,0,961.1625,0,920.4416,1218.9632,1000.48,1227.0825,0,1130.272,988.5824,1077.1425,889.865,839.325,828.495,996.063,1283.31,1066.4576,1077.585,978.31,1258.9824,1189.5975,1096.9875,1253.5744,1021.0304,1037.2794,1174.6176,1211.392,922.7925,1227.616,1094.5244,0,1104.3136,886.912,924.9975,1285.515,982.8225,1326.9391,1293.5936,1218.2625,1010.8,0,896.1825,838.4225,0,1168.128,0,1070.5275,1241.6768,0,1204.4348,1270.88,1152.9856,1000.48,1202.7392,956.65,1079.4368,978.31,1141.088,1224.3712,1157.625,1108.64,0,991.8475,1178.944,905.1525,934.5024,1316.635,12,1109.7216,0,1284.9408,1050.2336,12,1151.01
1085.85225,746.773625,1298.85525,1034.87488,0,907.10275,1082.938012,1022.910905,1226.10176,1234.02825,1250.848768,1390.423805,0,934.761984,1285.070107,936.2535,748.488375,958.5135,12,12,823.08,973.562625,12,12,1060.746752,1278.970368,692.759,1128.238592,1174.989375,1051.086894,1329.589248,1060.746752,1276.860375,994.555,0,952.725375,1247.91975,749.34575,0,961.117375,1123.739136,1190.106112,1033.936292,1177.732608,0,952.543625,1169.20125,1127.113728,1230.601216,1379.889,1177.266323,1113.63525,1341.962752,993.24225,1003.378688,906.245375,1091.640375,1310.79601,772.494875,1194.605568,991.005184,1124.864,884.811,999.69925,948.094875,1254.444032,12,1288.436625,1198.092054,847.0865,1051.1235,731.340875,1261.81125,1291.343872,1341.422085,1148.364,1414.924665,12,994.379776,1246.762125,1207.892398,1163.109376,1116.989952,1276.860375,798.216125,1168.733696,0,1179.982336,802.503,732.19825,1351.222429,901.016064,971.405875,1268.846592,1319.371311,0,895.0995,1047.248384,0,1116.989952,1089.325125,0,1024.563125,1196.98425,1123.364431,1169.916065,0,1117.108125,1182.232064,12,930.262528,0,1169.20125,1229.476352,858.232375,940.386304,709.049125,1076.494848,1304.643375,1348.772343,1111.365632,1131.939732,1280.095232,1157.625,985.123875,911.389625,12,913.104375,12,957.259264,1267.721728,1040.4992,1288.436625,12,1175.48288,1028.125696,1130.999625,845.37175,797.35875,787.07025,1065.78741,1347.4755,1109.115904,1023.70575,929.3945,1309.341696,1249.077375,1151.836875,1303.717376,1061.871616,1109.888958,1221.602304,1259.84768,968.932125,1276.72064,1171.141108,12,1148.486144,922.38848,971.247375,1349.79075,933.681375,1419.824837,1345.337344,1279.175625,960.26,12,851.373375,796.501375,12,1214.85312,12,1124.053875,1291.343872,12,1288.745236,1321.7152,1199.105024,1040.4992,1250.848768,908.8175,1122.614272,929.3945,1186.73152,1273.346048,1215.50625,1152.9856,12,942.255125,1226.10176,950.410125,971.882496,1408.79945,0,1154.110464,12,1336.338432,1092.242944,0,1208.5605
143.909712304847,0,207.07926499225,0,12,0,279.515670425749,0,224.967867382224,463.976988241858,448.738221650928,344.001356127887,12,142.357045993571,450.198960287536,0,0,73.0264662961678,12.48,12.48,0,51.1767081371729,12.84,12.48,0,433.813287362857,0,68.5184289955827,293.728500237314,251.791930366027,339.500080682595,233.688560974603,401.900467550067,0,12,22.2359785733066,146.883171669075,711.8784625,12,913.06150625,1168.68870144,1237.71035648,1106.31183244,1224.84191232,12,904.91644375,1227.6613125,1172.19827712,1279.82526464,1448.88345,1259.67496561,1169.3170125,1395.64126208,1042.9043625,1043.51383552,860.93310625,1146.22239375,1402.5517307,733.87013125,1242.38979072,1030.64539136,1169.85856,840.57045,949.7142875,995.49961875,1342.25511424,12.6,1352.85845625,1281.95849778,804.732175,1103.679675,694.77383125,1324.9018125,1342.99762688,1435.32163095,1205.7822,1513.96939155,11.4,1034.15496704,1309.10023125,1292.44486586,1209.63375104,1161.66955008,1340.70339375,758.30531875,1215.48304384,12,1227.18162944,762.37785,695.5883375,1445.80799903,937.05670656,922.83558125,1319.60045568,1411.72730277,12,850.344525,1089.13831936,12,1161.66955008,1143.79138125,12,973.33496875,1256.8334625,1201.99994117,1251.81018955,12,1172.96353125,1229.52134656,12.6,967.47302912,12,1227.6613125,1278.65540608,815.32075625,978.00175616,673.59666875,1119.55464192,1369.87554375,1443.18640701,1155.82025728,1211.17551324,1331.29904128,1215.50625,935.86768125,865.82014375,12.84,867.44915625,12.48,995.54963456,1318.43059712,1082.119168,1352.85845625,12.48,1222.5021952,1069.25072384,1187.54960625,803.1031625,757.4908125,747.7167375,1140.3925287,1414.849275,1153.48054016,972.5204625,882.924775,1361.71536384,1311.53124375,1209.42871875,1355.86607104,1104.34648064,1187.58118506,1270.46639616,1310.2415872,1017.37873125,1327.7894656,1253.12098556,12.6,1194.42558976,959.2840192,1019.80974375,1417.2802875,886.99730625,1519.21257559,1399.15083776,1343.13440625,912.247,12.48,808.80470625,756.67630625,12.48,1263.4472448,12.48,1180.25656875,1342.99762688,12.48,1378.95740252,1374.583808,1247.06922496,1082.119168,1300.88271872,863.376625,1167.51884288,882.924775,1234.2007808,1324.27988992,1276.2815625,1199.105024,12.84,895.14236875,1275.1458304,997.93063125,1010.75779584,1507.4154115,12,1200.27488256,12.48,1389.79196928,1135.93266176,12,1268.988525
0,12,0,12,12.6,12,0,12,0,0,0,0,12.48,0,0,12,12,0,12.9792,12.9792,12,0,13.7388,12.9792,12,0,12,0,0,0,0,0,0,12,12.48,0,0,676.284539375,12.6,867.4084309375,1215.4362494976,1287.2187707392,1183.7536607108,1273.8355888128,12.84,859.6706215625,1289.044378125,1219.0862082048,1331.0182752256,1521.3276225,1347.8522132027,1227.782863125,1451.4669125632,1095.049580625,1085.2543889408,817.8864509375,1203.5335134375,1500.730351849,697.1766246875,1292.0853823488,1071.8712070144,1216.6529024,798.5419275,902.228573125,1045.2745996875,1436.2129722368,13.23,1420.5013790625,1371.6955926246,764.49556625,1158.86365875,660.0351396875,1391.146903125,1396.7175319552,1535.7941451165,1266.07131,1619.9472489585,10.83,1075.5211657216,1374.5552428125,1382.9160064702,1258.0191010816,1208.1363320832,1407.7385634375,720.3900528125,1264.1023655936,12.48,1276.2688946176,724.2589575,660.808920625,1547.0145589621,974.5389748224,876.6938021875,1372.3844739072,1510.5482139639,12.84,807.82729875,1132.7038521344,11.4,1208.1363320832,1200.9809503125,12.48,924.6682203125,1319.675135625,1286.1399370519,1339.4369028185,12.6,1231.6117078125,1278.7022004224,13.23,1006.1719502848,11.4,1289.044378125,1329.8016223232,774.5547184375,1017.1218264064,639.9168353125,1164.3368275968,1438.3693209375,1544.2094555007,1202.0530675712,1295.9577991668,1384.5510029312,1276.2815625,889.0742971875,822.5291365625,13.7388,824.0766984375,12.9792,1035.3716199424,1371.1678210048,1125.40393472,1420.5013790625,12.9792,1271.402283008,1112.0207527936,1246.9270865625,762.948004375,719.616271875,710.330900625,1220.220005709,1485.59173875,1199.6197617664,923.894439375,838.77853625,1416.1839783936,1377.1078059375,1269.9001546875,1410.1007138816,1148.5203398656,1270.7118680142,1321.2850520064,1362.651250688,1068.2476678125,1380.901044224,1340.8394545492,13.23,1242.2026133504,997.655379968,1070.8002309375,1488.144301875,842.6474409375,1625.5574558813,1455.1168712704,1410.2911265625,866.63465,12.9792,768.3644709375,718.8424909375,12.9792,1313.985134592,12.9792,1239.2693971875,1396.7175319552,12.9792,1475.4844206964,1429.56716032,1296.9519939584,1125.40393472,1352.9180274688,820.20779375,1214.2195965952,838.77853625,1283.568812032,1377.2510855168,1340.095640625,1247.06922496,13.7388,850.3852503125,1326.151663616,1047.8271628125,1051.1881076736,1612.934490305,12.48,1248.2858778624,12.9792,1445.3836480512,1181.3699682304,12.84,1332.43795125
12,0,12,0,13.23,0,12,0,12,12,12,12,12.9792,12,12,0,0,12,13.498368,13.498368,0,12,14.700516,13.498368,0,12,0,12,12,12,12,12,12,0,12.9792,12,12,642.47031240625,13.23,824.038009390625,1264.0536994775,1338.70752156877,1266.61641696056,1324.78901236531,13.7388,816.687090484375,1353.49659703125,1267.84965653299,1384.25900623462,1597.394003625,1442.20186812689,1289.17200628125,1509.52558906573,1149.80205965625,1128.66456449843,776.992128390625,1263.71018910938,1605.78147647843,662.317793453125,1343.76879764275,1114.74605529498,1265.319018496,758.614831125,857.11714446875,1097.53832967188,1536.74788029338,13.8915,1491.52644801562,1467.71428410832,726.2707879375,1216.8068416875,627.033382703125,1460.70424828125,1452.58623323341,1643.29973527466,1329.3748755,1733.3435563856,10.2885,1118.54201235046,1443.28300495312,1479.72012692311,1308.33986512486,1256.46178536653,1478.12549160938,684.370550171875,1314.66646021734,12.9792,1327.3196504023,688.046009625,627.76847459375,1655.30557808945,1013.5205338153,832.859112078125,1427.27985286349,1616.28658894137,13.7388,767.4359338125,1178.01200621978,10.83,1256.46178536653,1261.02999782812,12.9792,878.434809296875,1385.65889240625,1376.16973264553,1433.1974860158,13.23,1293.19229320312,1329.8502884393,13.8915,1046.41882829619,10.83,1353.49659703125,1382.99368721613,735.826982515625,1057.80669946266,607.920993546875,1210.91030070067,1510.28778698437,1652.30411738575,1250.13519027405,1386.67484510848,1439.93304304845,1340.095640625,844.620582328125,781.402679734375,14.700516,782.872863515625,13.498368,1076.7864847401,1426.01453384499,1170.4200921088,1491.52644801562,13.498368,1322.25837432832,1156.50158290534,1309.27344089062,724.80060415625,683.63545828125,674.81435559375,1305.63540610863,1559.8713256875,1247.60455223706,877.69971740625,796.8396094375,1472.83133752934,1445.96319623438,1333.39516242187,1466.50474243686,1194.46115346022,1359.66169877519,1374.13645408666,1417.15730071552,1121.66005120313,1436.13708599296,1434.69821636764,13.8915,1291.89071788442,1037.56159516672,1124.34024248438,1562.55151696875,800.515068890625,1739.34647779299,1513.32154612122,1480.80568289063,823.3029175,13.498368,729.946247390625,682.900366390625,13.498368,1366.54453997568,13.498368,1301.23286704687,1452.58623323341,13.498368,1578.76833014515,1486.7498467328,1348.83007371674,1170.4200921088,1407.03474856755,779.1974040625,1262.78838045901,796.8396094375,1334.91156451328,1432.34112893747,1407.10042265625,1296.9519939584,14.700516,807.865987796875,1379.19773016064,1100.21852095312,1093.23563198054,1725.83990462635,12.9792,1298.2173129769,13.498368,1503.19899397325,1228.62476695962,13.7388,1399.0598488125
12.6,12,12.6,12,13.8915,12,12.84,12,12.48,12.6,12.48,12.84,13.498368,12.48,12.84,12,12,12.6,14.03830272,14.03830272,12,12.6,15.72955212,14.03830272,12,12.48,12,12.48,12.6,12.84,12.48,12.48,12.6,12,13.498368,12.6,12.6,0,13.8915,0,110.545145862311,539.206625223651,429.066848374336,529.669659003781,14.700516,0,314.703095411683,378.760163581865,302.957368714064,532.190251649997,712.512627203108,239.881727051392,635.137512664089,229.557547020515,303.283597817975,0,275.937156483926,602.407770833695,0,239.629195682883,278.880810892015,463.756506689595,0,0,97.7535274224895,464.126867228279,14.586075,586.756046362495,673.183869023307,0,1277.64718377187,595.681713567969,1533.73946069531,1510.68968256274,1758.33071674388,1395.843619275,1854.67760533259,9.774075,1163.28369284448,1515.44715520078,1583.30053580773,1360.67345972986,1306.72025678119,1552.03176618984,650.152022663281,1367.25311862604,13.498368,1380.4124364184,653.64370914375,596.380050864063,1771.17696855571,1054.06135516791,791.216156474219,1484.37104697803,1729.42665016727,14.700516,729.064137121875,1225.13248646857,10.2885,1306.72025678119,1324.08149771953,13.498368,834.513068832031,1454.94183702656,1472.50161393072,1533.5213100369,13.8915,1357.85190786328,1383.04429997687,14.586075,1088.27558142804,10.2885,1421.17142688281,1438.31343470477,699.035633389844,1100.11896744116,577.524943869531,1259.3467127287,1585.80217633359,1767.96540560275,1300.14059788501,1483.74208426607,1497.53036477039,1407.10042265625,802.389553211719,742.332545747656,15.72955212,743.729220339844,14.03830272,1119.8579441297,1483.05511519879,1217.23689579315,1566.10277041641,14.03830272,1375.14870930145,1202.76164622156,1374.73711293516,688.560573948438,649.453685367188,641.073637814063,1397.02988453623,1637.86489197188,1297.50873432654,833.814731535938,756.997628965625,1531.74459103052,1518.26135604609,1400.06492054297,1525.16493213434,1242.23959959863,1454.83801768946,1429.10191225012,1473.84359274414,1177.74305376328,1493.58256943268,1535.12709151338,14.586075,1343.56634659979,1079.06405897339,1180.55725460859,1640.67909281719,760.489315446094,1861.1007312385,1573.85440796606,1554.84596703516,782.137771625,14.03830272,693.448935021094,648.755348071094,14.03830272,1421.20632157471,14.03830272,1366.29451039922,1510.68968256274,14.03830272,1689.28211325531,1546.21984060211,1402.78327666541,1217.23689579315,1463.31613851025,740.237533859375,1313.29991567737,756.997628965625,1388.30802709381,1489.63477409497,1477.45544378906,1348.83007371674,15.72955212,767.472688407031,1434.36563936707,1155.22944700078,1136.96505725977,1846.64869795019,13.498368,1350.14600549597,14.03830272,1563.32695373218,1277.769757638,14.700516,1469.01284125312
13.23,11.4,13.23,12.48,14.586075,11.4,13.7388,12.84,12.9792,13.23,12.9792,13.7388,14.03830272,12.9792,13.7388,11.4,11.4,13.23,14.5998348288,14.5998348288,11.4,13.23,16.8306207684,14.5998348288,12.48,12.9792,11.4,12.9792,13.23,13.7388,12.9792,12.9792,13.23,11.4,14.03830272,13.23,13.23,12,14.586075,12,0,0,0,0,15.72955212,12,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,12,12,0,0,15.31537875,0,0,12,1341.52954296047,565.89762788957,1610.42643373008,1571.11726986525,1881.41386691595,1465.63580023875,1984.50503770587,9.28537125,1209.81504055826,1591.21951296082,1694.13157331427,1415.10039811905,1358.98906705244,1629.63335449934,617.644421530117,1421.94324337108,14.03830272,1435.62893387513,620.961523686563,566.561048320859,1895.15935635461,1096.22380937462,751.655348650508,1543.74588885715,1850.48651567898,15.72955212,692.610930265781,1274.13778592731,9.774075,1358.98906705244,1390.28557260551,14.03830272,792.78741539043,1527.68892887789,1575.57672690587,1640.86780173948,14.586075,1425.74450325645,1438.36607197594,15.31537875,1131.80660468516,9.774075,1492.22999822695,1495.84597209296,664.083851720352,1144.12372613881,548.648696676055,1309.72058123785,1665.09228515027,1891.72298399494,1352.14622180041,1587.60403016469,1557.4315793612,1477.45544378906,762.270075551133,705.215918460274,16.8306207684,706.542759322852,14.5998348288,1164.65226189489,1542.37731980674,1265.92637162488,1644.40790893723,14.5998348288,1430.15465767351,1250.87211207042,1443.47396858191,654.132545251016,616.981001098828,609.019955923359,1494.82197645377,1719.75813657047,1349.4090836996,792.123994959141,719.147747517344,1593.01437467174,1594.1744238484,1470.06816657012,1586.17152941971,1291.92918358258,1556.67667892772,1486.26598874013,1532.79733645391,1236.63020645145,1553.32587220999,1642.58598791932,15.31537875,1397.30900046378,1122.22662133232,1239.58511733902,1722.71304745805,722.464849673789,1991.3777824252,1636.80858428471,1632.58826538691,743.03088304375,14.5998348288,658.776488270039,616.317580667539,14.5998348288,1478.0545744377,14.5998348288,1434.60923591918,1571.11726986525,14.5998348288,1807.53186118318,1608.0686342262,1458.89460773202,1265.92637162488,1521.84878405066,703.225657166406,1365.83191230446,719.147747517344,1443.84034817756,1549.22016505877,1551.32821597852,1402.78327666541,16.8306207684,729.09905398668,1491.74026494175,1212.99091935082,1182.44365955016,1975.91410680671,14.03830272,1404.15184571581,14.5998348288,1625.86003188146,1328.88054794352,15.72955212,1542.46348331578
13.8915,10.83,13.8915,12.9792,15.31537875,10.83,14.700516,13.7388,13.498368,13.8915,13.498368,14.700516,14.5998348288,13.498368,14.700516,10.83,10.83,13.8915,15.183828221952,15.183828221952,10.83,13.8915,18.008764222188,15.183828221952,12.9792,13.498368,10.83,13.498368,13.8915,14.700516,13.498368,13.498368,13.8915,10.83,14.5998348288,13.8915,13.8915,0,15.31537875,0,12,12,12,12,16.8306207684,0,12,12,12,12,12,12,12,12,12,0,12,12,0,12,12,12,0,0,12,12,16.0811476875,12,12,0,1408.60602010849,537.602746495092,1690.94775541658,1633.96196065986,2013.11283760007,1538.91759025069,2123.42039034528,8.8211026875,1258.20764218059,1670.78048860886,1812.72078344627,1471.70441404381,1413.34862973453,1711.1150222243,586.762200453612,1478.82097310592,14.5998348288,1493.05409123014,589.913447502234,538.232995904816,2027.82051129943,1140.07276174961,714.072581217982,1605.49572441143,1980.02057177651,16.8306207684,657.980383752492,1325.1032973644,9.28537125,1413.34862973453,1459.79985123578,14.5998348288,753.148044620908,1604.07337532179,1685.86709778928,1755.72854786125,15.31537875,1497.03172841927,1495.90071485498,16.0811476875,1177.07886887257,9.28537125,1566.8414981383,1555.67981097668,630.879659134334,1189.88867518436,521.216261842252,1362.10940448736,1748.34689940779,2024.14359287459,1406.23207067243,1698.73631227622,1619.72884253565,1551.32821597852,724.156571773576,669.95512253726,18.008764222188,671.215621356709,15.183828221952,1211.23835237068,1604.07241259901,1316.56342648987,1726.62830438409,15.183828221952,1487.36084398045,1300.90699655324,1515.64766701101,621.425917988465,586.131951043887,578.568958127191,1599.45951480553,1805.74604339899,1403.38544704758,752.517795211184,683.190360141477,1656.73494965861,1673.88314504082,1543.57157489862,1649.6183905965,1343.60635092588,1665.64404645266,1545.71662828973,1594.10922991206,1298.46171677402,1615.45890709838,1757.56700707367,16.0811476875,1453.20136048234,1167.11568618562,1301.56437320598,1808.84869983095,686.3416071901,2130.77422719496,1702.2809276561,1714.21767865626,705.879338891562,15.183828221952,625.837663856537,585.501701634162,15.183828221952,1537.1767574152,15.183828221952,1506.33969771514,1633.96196065986,15.183828221952,1934.059091466,1672.39137959524,1517.2503920413,1316.56342648987,1582.72273541269,668.064374308086,1420.46518879664,683.190360141477,1501.59396210467,1611.18897166112,1628.89462677744,1458.89460773202,18.008764222188,692.644101287346,1551.40987553942,1273.64046531836,1229.74140593216,2114.22809428318,14.5998348288,1460.31791954444,15.183828221952,1690.89443315672,1382.03576986126,16.8306207684,1619.58665748157
